;Unnamed: 0;data dostawy;indeks;kurs (PLN/MWh lub PLN/toe);wolumen (MWh lub toe);ukey
97;97;2016-02-04;TGEkmet16;-;-;2016-02-04/TGEkmet16
98;98;2016-02-04;TGEoze;98.05;190.00;2016-02-04/TGEoze
99;99;2016-02-04;TGEozea;117.84;64552.34;2016-02-04/TGEozea
100;100;2016-02-09;TGEbg;-;-;2016-02-09/TGEbg
101;101;2016-02-09;TGEef;982.00;30.05;2016-02-09/TGEef
102;102;2016-02-09;TGEkec15;10.85;36621.97;2016-02-09/TGEkec15
103;103;2016-02-09;TGEkec16;-;-;2016-02-09/TGEkec16
104;104;2016-02-09;TGEkgm15;118.95;12937.87;2016-02-09/TGEkgm15
105;105;2016-02-09;TGEkgm16;-;-;2016-02-09/TGEkgm16
106;106;2016-02-09;TGEkmet15;62.30;5000.00;2016-02-09/TGEkmet15
107;107;2016-02-09;TGEkmet16;-;-;2016-02-09/TGEkmet16
108;108;2016-02-09;TGEoze;-;-;2016-02-09/TGEoze
109;109;2016-02-09;TGEozea;117.80;53697.54;2016-02-09/TGEozea
110;110;2016-02-11;TGEbg;-;-;2016-02-11/TGEbg
111;111;2016-02-11;TGEef;982.00;745.37;2016-02-11/TGEef
112;112;2016-02-11;TGEkec15;10.85;32500.00;2016-02-11/TGEkec15
113;113;2016-02-11;TGEkec16;-;-;2016-02-11/TGEkec16
114;114;2016-02-11;TGEkgm15;118.96;16429.86;2016-02-11/TGEkgm15
115;115;2016-02-11;TGEkgm16;-;-;2016-02-11/TGEkgm16
116;116;2016-02-11;TGEkmet15;62.30;1026.88;2016-02-11/TGEkmet15
117;117;2016-02-11;TGEkmet16;-;-;2016-02-11/TGEkmet16
118;118;2016-02-11;TGEoze;-;-;2016-02-11/TGEoze
119;119;2016-02-11;TGEozea;117.08;56801.58;2016-02-11/TGEozea
120;120;2016-02-16;TGEbg;-;-;2016-02-16/TGEbg
121;121;2016-02-16;TGEef;981.63;550.00;2016-02-16/TGEef
122;122;2016-02-16;TGEkec15;10.87;42238.55;2016-02-16/TGEkec15
123;123;2016-02-16;TGEkec16;-;-;2016-02-16/TGEkec16
124;124;2016-02-16;TGEkgm15;119.29;22522.29;2016-02-16/TGEkgm15
125;125;2016-02-16;TGEkgm16;-;-;2016-02-16/TGEkgm16
126;126;2016-02-16;TGEkmet15;62.33;4089.25;2016-02-16/TGEkmet15
127;127;2016-02-16;TGEkmet16;-;-;2016-02-16/TGEkmet16
128;128;2016-02-16;TGEoze;-;-;2016-02-16/TGEoze
129;129;2016-02-16;TGEozea;114.33;59222.93;2016-02-16/TGEozea
130;130;2016-02-18;TGEbg;-;-;2016-02-18/TGEbg
131;131;2016-02-18;TGEef;981.50;1471.68;2016-02-18/TGEef
132;132;2016-02-18;TGEkec15;10.89;46203.89;2016-02-18/TGEkec15
133;133;2016-02-18;TGEkec16;-;-;2016-02-18/TGEkec16
134;134;2016-02-18;TGEkgm15;119.32;21357.52;2016-02-18/TGEkgm15
135;135;2016-02-18;TGEkgm16;-;-;2016-02-18/TGEkgm16
136;136;2016-02-18;TGEkmet15;62.40;1644.12;2016-02-18/TGEkmet15
137;137;2016-02-18;TGEkmet16;-;-;2016-02-18/TGEkmet16
138;138;2016-02-18;TGEoze;-;-;2016-02-18/TGEoze
139;139;2016-02-18;TGEozea;113.44;40811.62;2016-02-18/TGEozea
140;140;2016-02-23;TGEbg;-;-;2016-02-23/TGEbg
141;141;2016-02-23;TGEef;981.14;1750.00;2016-02-23/TGEef
142;142;2016-02-23;TGEkec15;10.85;85002.00;2016-02-23/TGEkec15
143;143;2016-02-23;TGEkec16;-;-;2016-02-23/TGEkec16
144;144;2016-02-23;TGEkgm15;118.93;22410.80;2016-02-23/TGEkgm15
145;145;2016-02-23;TGEkgm16;-;-;2016-02-23/TGEkgm16
146;146;2016-02-23;TGEkmet15;62.02;1391.54;2016-02-23/TGEkmet15
147;147;2016-02-23;TGEkmet16;-;-;2016-02-23/TGEkmet16
148;148;2016-02-23;TGEoze;-;-;2016-02-23/TGEoze
149;149;2016-02-23;TGEozea;113.95;48565.17;2016-02-23/TGEozea
150;150;2016-02-25;TGEbg;-;-;2016-02-25/TGEbg
151;151;2016-02-25;TGEef;982.08;1949.52;2016-02-25/TGEef
152;152;2016-02-25;TGEkec15;10.85;68004.00;2016-02-25/TGEkec15
153;153;2016-02-25;TGEkec16;-;-;2016-02-25/TGEkec16
154;154;2016-02-25;TGEkgm15;118.36;42121.04;2016-02-25/TGEkgm15
155;155;2016-02-25;TGEkgm16;-;-;2016-02-25/TGEkgm16
156;156;2016-02-25;TGEkmet15;62.25;22499.17;2016-02-25/TGEkmet15
157;157;2016-02-25;TGEkmet16;-;-;2016-02-25/TGEkmet16
158;158;2016-02-25;TGEoze;-;-;2016-02-25/TGEoze
159;159;2016-02-25;TGEozea;113.71;63355.74;2016-02-25/TGEozea
160;160;2016-03-01;TGEbg;-;-;2016-03-01/TGEbg
161;161;2016-03-01;TGEef;991.67;750.00;2016-03-01/TGEef
162;162;2016-03-01;TGEkec15;10.82;69575.11;2016-03-01/TGEkec15
163;163;2016-03-01;TGEkec16;-;-;2016-03-01/TGEkec16
164;164;2016-03-01;TGEkgm15;118.37;32201.74;2016-03-01/TGEkgm15
165;165;2016-03-01;TGEkgm16;-;-;2016-03-01/TGEkgm16
166;166;2016-03-01;TGEkmet15;62.27;6500.00;2016-03-01/TGEkmet15
167;167;2016-03-01;TGEkmet16;-;-;2016-03-01/TGEkmet16
168;168;2016-03-01;TGEoze;-;-;2016-03-01/TGEoze
169;169;2016-03-01;TGEozea;114.74;83291.87;2016-03-01/TGEozea
170;170;2016-03-03;TGEbg;-;-;2016-03-03/TGEbg
171;171;2016-03-03;TGEef;996.02;896.34;2016-03-03/TGEef
172;172;2016-03-03;TGEkec15;10.80;84473.56;2016-03-03/TGEkec15
173;173;2016-03-03;TGEkec16;-;-;2016-03-03/TGEkec16
174;174;2016-03-03;TGEkgm15;118.40;25261.79;2016-03-03/TGEkgm15
175;175;2016-03-03;TGEkgm16;-;-;2016-03-03/TGEkgm16
176;176;2016-03-03;TGEkmet15;62.27;8000.00;2016-03-03/TGEkmet15
177;177;2016-03-03;TGEkmet16;-;-;2016-03-03/TGEkmet16
178;178;2016-03-03;TGEoze;-;-;2016-03-03/TGEoze
179;179;2016-03-03;TGEozea;115.44;73545.99;2016-03-03/TGEozea
180;180;2016-03-08;TGEbg;-;-;2016-03-08/TGEbg
181;181;2016-03-08;TGEef;995.97;4231.54;2016-03-08/TGEef
182;182;2016-03-08;TGEkec15;10.79;39920.75;2016-03-08/TGEkec15
183;183;2016-03-08;TGEkec16;-;-;2016-03-08/TGEkec16
184;184;2016-03-08;TGEkgm15;118.36;37600.92;2016-03-08/TGEkgm15
185;185;2016-03-08;TGEkgm16;-;-;2016-03-08/TGEkgm16
186;186;2016-03-08;TGEkmet15;62.24;8070.55;2016-03-08/TGEkmet15
187;187;2016-03-08;TGEkmet16;-;-;2016-03-08/TGEkmet16
188;188;2016-03-08;TGEoze;-;-;2016-03-08/TGEoze
189;189;2016-03-08;TGEozea;115.33;69931.77;2016-03-08/TGEozea
190;190;2016-03-10;TGEbg;-;-;2016-03-10/TGEbg
191;191;2016-03-10;TGEef;997.50;21.24;2016-03-10/TGEef
192;192;2016-03-10;TGEkec15;10.78;159745.90;2016-03-10/TGEkec15
193;193;2016-03-10;TGEkec16;-;-;2016-03-10/TGEkec16
194;194;2016-03-10;TGEkgm15;118.31;49664.04;2016-03-10/TGEkgm15
195;195;2016-03-10;TGEkgm16;-;-;2016-03-10/TGEkgm16
196;196;2016-03-10;TGEkmet15;62.10;3.62;2016-03-10/TGEkmet15
197;197;2016-03-10;TGEkmet16;-;-;2016-03-10/TGEkmet16
198;198;2016-03-10;TGEoze;-;-;2016-03-10/TGEoze
199;199;2016-03-10;TGEozea;114.27;51258.72;2016-03-10/TGEozea
200;200;2016-03-15;TGEbg;-;-;2016-03-15/TGEbg
201;201;2016-03-15;TGEef;999.32;1742.93;2016-03-15/TGEef
202;202;2016-03-15;TGEkec15;10.79;178165.16;2016-03-15/TGEkec15
203;203;2016-03-15;TGEkec16;-;-;2016-03-15/TGEkec16
204;204;2016-03-15;TGEkgm15;118.35;27020.15;2016-03-15/TGEkgm15
205;205;2016-03-15;TGEkgm16;-;-;2016-03-15/TGEkgm16
206;206;2016-03-15;TGEkmet15;62.10;6900.28;2016-03-15/TGEkmet15
207;207;2016-03-15;TGEkmet16;-;-;2016-03-15/TGEkmet16
208;208;2016-03-15;TGEoze;-;-;2016-03-15/TGEoze
209;209;2016-03-15;TGEozea;113.08;95725.98;2016-03-15/TGEozea
210;210;2016-03-17;TGEbg;-;-;2016-03-17/TGEbg
211;211;2016-03-17;TGEef;985.00;73.79;2016-03-17/TGEef
212;212;2016-03-17;TGEkec15;10.79;186936.09;2016-03-17/TGEkec15
213;213;2016-03-17;TGEkec16;-;-;2016-03-17/TGEkec16
214;214;2016-03-17;TGEkgm15;118.42;43193.08;2016-03-17/TGEkgm15
215;215;2016-03-17;TGEkgm16;-;-;2016-03-17/TGEkgm16
216;216;2016-03-17;TGEkmet15;62.16;20376.34;2016-03-17/TGEkmet15
217;217;2016-03-17;TGEkmet16;-;-;2016-03-17/TGEkmet16
218;218;2016-03-17;TGEoze;-;-;2016-03-17/TGEoze
219;219;2016-03-17;TGEozea;113.87;71919.73;2016-03-17/TGEozea
220;220;2016-03-22;TGEbg;-;-;2016-03-22/TGEbg
221;221;2016-03-22;TGEef;999.99;80.00;2016-03-22/TGEef
222;222;2016-03-22;TGEkec15;10.72;97722.89;2016-03-22/TGEkec15
223;223;2016-03-22;TGEkec16;-;-;2016-03-22/TGEkec16
224;224;2016-03-22;TGEkgm15;118.40;15895.79;2016-03-22/TGEkgm15
225;225;2016-03-22;TGEkgm16;114.94;1098.81;2016-03-22/TGEkgm16
226;226;2016-03-22;TGEkmet15;62.20;14740.58;2016-03-22/TGEkmet15
227;227;2016-03-22;TGEkmet16;-;-;2016-03-22/TGEkmet16
228;228;2016-03-22;TGEoze;-;-;2016-03-22/TGEoze
229;229;2016-03-22;TGEozea;113.01;66959.43;2016-03-22/TGEozea
230;230;2016-03-24;TGEbg;-;-;2016-03-24/TGEbg
231;231;2016-03-24;TGEef;990.00;2196.17;2016-03-24/TGEef
232;232;2016-03-24;TGEkec15;10.72;81387.35;2016-03-24/TGEkec15
233;233;2016-03-24;TGEkec16;-;-;2016-03-24/TGEkec16
234;234;2016-03-24;TGEkgm15;118.26;32580.01;2016-03-24/TGEkgm15
235;235;2016-03-24;TGEkgm16;117.10;1234.00;2016-03-24/TGEkgm16
236;236;2016-03-24;TGEkmet15;62.10;1493.23;2016-03-24/TGEkmet15
237;237;2016-03-24;TGEkmet16;-;-;2016-03-24/TGEkmet16
238;238;2016-03-24;TGEoze;-;-;2016-03-24/TGEoze
239;239;2016-03-24;TGEozea;113.06;78681.79;2016-03-24/TGEozea
240;240;2016-03-29;TGEbg;-;-;2016-03-29/TGEbg
241;241;2016-03-29;TGEef;-;-;2016-03-29/TGEef
242;242;2016-03-29;TGEkec15;10.75;74056.62;2016-03-29/TGEkec15
243;243;2016-03-29;TGEkec16;-;-;2016-03-29/TGEkec16
244;244;2016-03-29;TGEkgm15;118.37;15701.24;2016-03-29/TGEkgm15
245;245;2016-03-29;TGEkgm16;-;-;2016-03-29/TGEkgm16
246;246;2016-03-29;TGEkmet15;-;-;2016-03-29/TGEkmet15
247;247;2016-03-29;TGEkmet16;-;-;2016-03-29/TGEkmet16
248;248;2016-03-29;TGEoze;-;-;2016-03-29/TGEoze
249;249;2016-03-29;TGEozea;112.64;63612.89;2016-03-29/TGEozea
250;250;2016-03-31;TGEbg;-;-;2016-03-31/TGEbg
251;251;2016-03-31;TGEef;-;-;2016-03-31/TGEef
252;252;2016-03-31;TGEkec15;10.75;116384.85;2016-03-31/TGEkec15
253;253;2016-03-31;TGEkec16;-;-;2016-03-31/TGEkec16
254;254;2016-03-31;TGEkgm15;118.36;15814.83;2016-03-31/TGEkgm15
255;255;2016-03-31;TGEkgm16;117.00;507.37;2016-03-31/TGEkgm16
256;256;2016-03-31;TGEkmet15;-;-;2016-03-31/TGEkmet15
257;257;2016-03-31;TGEkmet16;-;-;2016-03-31/TGEkmet16
258;258;2016-03-31;TGEoze;-;-;2016-03-31/TGEoze
259;259;2016-03-31;TGEozea;111.55;104211.25;2016-03-31/TGEozea
260;260;2016-04-05;TGEbg;-;-;2016-04-05/TGEbg
261;261;2016-04-05;TGEef;-;-;2016-04-05/TGEef
262;262;2016-04-05;TGEkec15;10.78;78210.15;2016-04-05/TGEkec15
263;263;2016-04-05;TGEkec16;-;-;2016-04-05/TGEkec16
264;264;2016-04-05;TGEkgm15;118.88;12321.58;2016-04-05/TGEkgm15
265;265;2016-04-05;TGEkgm16;117.30;447.26;2016-04-05/TGEkgm16
266;266;2016-04-05;TGEkmet15;62.30;32.75;2016-04-05/TGEkmet15
267;267;2016-04-05;TGEkmet16;-;-;2016-04-05/TGEkmet16
268;268;2016-04-05;TGEoze;-;-;2016-04-05/TGEoze
269;269;2016-04-05;TGEozea;110.89;56400.55;2016-04-05/TGEozea
270;270;2016-04-07;TGEbg;-;-;2016-04-07/TGEbg
271;271;2016-04-07;TGEef;-;-;2016-04-07/TGEef
272;272;2016-04-07;TGEkec15;10.78;58079.10;2016-04-07/TGEkec15
273;273;2016-04-07;TGEkec16;-;-;2016-04-07/TGEkec16
274;274;2016-04-07;TGEkgm15;119.96;19871.51;2016-04-07/TGEkgm15
275;275;2016-04-07;TGEkgm16;117.50;1168.47;2016-04-07/TGEkgm16
276;276;2016-04-07;TGEkmet15;-;-;2016-04-07/TGEkmet15
277;277;2016-04-07;TGEkmet16;-;-;2016-04-07/TGEkmet16
278;278;2016-04-07;TGEoze;-;-;2016-04-07/TGEoze
279;279;2016-04-07;TGEozea;111.30;86268.81;2016-04-07/TGEozea
280;280;2016-04-12;TGEbg;-;-;2016-04-12/TGEbg
281;281;2016-04-12;TGEef;-;-;2016-04-12/TGEef
282;282;2016-04-12;TGEkec15;10.78;83497.34;2016-04-12/TGEkec15
283;283;2016-04-12;TGEkec16;10.00;115.62;2016-04-12/TGEkec16
284;284;2016-04-12;TGEkgm15;120.02;8543.75;2016-04-12/TGEkgm15
285;285;2016-04-12;TGEkgm16;117.77;3801.14;2016-04-12/TGEkgm16
286;286;2016-04-12;TGEkmet15;-;-;2016-04-12/TGEkmet15
287;287;2016-04-12;TGEkmet16;-;-;2016-04-12/TGEkmet16
288;288;2016-04-12;TGEoze;-;-;2016-04-12/TGEoze
289;289;2016-04-12;TGEozea;111.16;85069.38;2016-04-12/TGEozea
290;290;2016-04-14;TGEbg;-;-;2016-04-14/TGEbg
291;291;2016-04-14;TGEef;-;-;2016-04-14/TGEef
292;292;2016-04-14;TGEkec15;10.78;128617.92;2016-04-14/TGEkec15
293;293;2016-04-14;TGEkec16;-;-;2016-04-14/TGEkec16
294;294;2016-04-14;TGEkgm15;120.43;5956.83;2016-04-14/TGEkgm15
295;295;2016-04-14;TGEkgm16;119.00;532.00;2016-04-14/TGEkgm16
296;296;2016-04-14;TGEkmet15;62.30;181.92;2016-04-14/TGEkmet15
297;297;2016-04-14;TGEkmet16;-;-;2016-04-14/TGEkmet16
298;298;2016-04-14;TGEoze;-;-;2016-04-14/TGEoze
299;299;2016-04-14;TGEozea;111.01;87607.77;2016-04-14/TGEozea
300;300;2016-04-19;TGEbg;-;-;2016-04-19/TGEbg
301;301;2016-04-19;TGEef;-;-;2016-04-19/TGEef
302;302;2016-04-19;TGEkec15;10.79;84306.88;2016-04-19/TGEkec15
303;303;2016-04-19;TGEkec16;-;-;2016-04-19/TGEkec16
304;304;2016-04-19;TGEkgm15;120.39;11719.39;2016-04-19/TGEkgm15
305;305;2016-04-19;TGEkgm16;118.51;289.91;2016-04-19/TGEkgm16
306;306;2016-04-19;TGEkmet15;-;-;2016-04-19/TGEkmet15
307;307;2016-04-19;TGEkmet16;-;-;2016-04-19/TGEkmet16
308;308;2016-04-19;TGEoze;-;-;2016-04-19/TGEoze
309;309;2016-04-19;TGEozea;110.58;109327.76;2016-04-19/TGEozea
310;310;2016-04-21;TGEbg;-;-;2016-04-21/TGEbg
