;Unnamed: 0;data dostawy;indeks;kurs (PLN/MWh);wolumen (MWh);ukey
126;126;2016-04-04;TGEgasDA;58.03;51984.00;2016-04-04/TGEgasDA
127;127;2016-04-04;TGEsgtDA;-;-;2016-04-04/TGEsgtDA
128;128;2016-04-05;TGEgasDA;56.87;60096.00;2016-04-05/TGEgasDA
129;129;2016-04-05;TGEsgtDA;-;-;2016-04-05/TGEsgtDA
130;130;2016-04-06;TGEgasDA;55.74;56544.00;2016-04-06/TGEgasDA
131;131;2016-04-06;TGEsgtDA;-;-;2016-04-06/TGEsgtDA
132;132;2016-04-07;TGEgasDA;56.05;52032.00;2016-04-07/TGEgasDA
133;133;2016-04-07;TGEsgtDA;-;-;2016-04-07/TGEsgtDA
134;134;2016-04-08;TGEgasDA;56.76;54024.00;2016-04-08/TGEgasDA
135;135;2016-04-08;TGEsgtDA;-;-;2016-04-08/TGEsgtDA
136;136;2016-04-09;TGEgasDA;56.47;5064.00;2016-04-09/TGEgasDA
137;137;2016-04-09;TGEsgtDA;-;-;2016-04-09/TGEsgtDA
138;138;2016-04-10;TGEgasDA;59.47;18648.00;2016-04-10/TGEgasDA
139;139;2016-04-10;TGEsgtDA;-;-;2016-04-10/TGEsgtDA
140;140;2016-04-11;TGEgasDA;62.74;71568.00;2016-04-11/TGEgasDA
141;141;2016-04-11;TGEsgtDA;-;-;2016-04-11/TGEsgtDA
142;142;2016-04-12;TGEgasDA;57.07;69408.00;2016-04-12/TGEgasDA
143;143;2016-04-12;TGEsgtDA;-;-;2016-04-12/TGEsgtDA
144;144;2016-04-13;TGEgasDA;59.44;52152.00;2016-04-13/TGEgasDA
145;145;2016-04-13;TGEsgtDA;-;-;2016-04-13/TGEsgtDA
146;146;2016-04-14;TGEgasDA;59.12;71784.00;2016-04-14/TGEgasDA
147;147;2016-04-14;TGEsgtDA;-;-;2016-04-14/TGEsgtDA
148;148;2016-04-15;TGEgasDA;58.46;89088.00;2016-04-15/TGEgasDA
149;149;2016-04-15;TGEsgtDA;-;-;2016-04-15/TGEsgtDA
150;150;2016-04-16;TGEgasDA;57.69;4224.00;2016-04-16/TGEgasDA
151;151;2016-04-16;TGEsgtDA;-;-;2016-04-16/TGEsgtDA
152;152;2016-04-17;TGEgasDA;55.89;3096.00;2016-04-17/TGEgasDA
153;153;2016-04-17;TGEsgtDA;-;-;2016-04-17/TGEsgtDA
154;154;2016-04-18;TGEgasDA;59.44;65976.00;2016-04-18/TGEgasDA
155;155;2016-04-18;TGEsgtDA;-;-;2016-04-18/TGEsgtDA
156;156;2016-04-19;TGEgasDA;59.11;78768.00;2016-04-19/TGEgasDA
157;157;2016-04-19;TGEsgtDA;-;-;2016-04-19/TGEsgtDA
158;158;2016-04-20;TGEgasDA;59.71;80424.00;2016-04-20/TGEgasDA
159;159;2016-04-20;TGEsgtDA;-;-;2016-04-20/TGEsgtDA
160;160;2016-04-21;TGEgasDA;62.19;80496.00;2016-04-21/TGEgasDA
161;161;2016-04-21;TGEsgtDA;-;-;2016-04-21/TGEsgtDA
162;162;2016-04-22;TGEgasDA;64.69;68496.00;2016-04-22/TGEgasDA
163;163;2016-04-22;TGEsgtDA;-;-;2016-04-22/TGEsgtDA
164;164;2016-04-23;TGEgasDA;65.16;21552.00;2016-04-23/TGEgasDA
165;165;2016-04-23;TGEsgtDA;-;-;2016-04-23/TGEsgtDA
166;166;2016-04-24;TGEgasDA;66.83;16512.00;2016-04-24/TGEgasDA
167;167;2016-04-24;TGEsgtDA;-;-;2016-04-24/TGEsgtDA
168;168;2016-04-25;TGEgasDA;69.40;82200.00;2016-04-25/TGEgasDA
169;169;2016-04-25;TGEsgtDA;-;-;2016-04-25/TGEsgtDA
170;170;2016-04-26;TGEgasDA;68.11;74952.00;2016-04-26/TGEgasDA
171;171;2016-04-26;TGEsgtDA;-;-;2016-04-26/TGEsgtDA
172;172;2016-04-27;TGEgasDA;69.35;91128.00;2016-04-27/TGEgasDA
173;173;2016-04-27;TGEsgtDA;-;-;2016-04-27/TGEsgtDA
174;174;2016-04-28;TGEgasDA;72.51;76176.00;2016-04-28/TGEgasDA
175;175;2016-04-28;TGEsgtDA;-;-;2016-04-28/TGEsgtDA
176;176;2016-04-29;TGEgasDA;68.82;66984.00;2016-04-29/TGEgasDA
177;177;2016-04-29;TGEsgtDA;-;-;2016-04-29/TGEsgtDA
178;178;2016-04-30;TGEgasDA;62.44;14592.00;2016-04-30/TGEgasDA
179;179;2016-04-30;TGEsgtDA;-;-;2016-04-30/TGEsgtDA
180;180;2016-05-01;TGEgasDA;64.15;34104.00;2016-05-01/TGEgasDA
181;181;2016-05-01;TGEsgtDA;-;-;2016-05-01/TGEsgtDA
182;182;2016-05-02;TGEgasDA;66.00;60480.00;2016-05-02/TGEgasDA
183;183;2016-05-02;TGEsgtDA;-;-;2016-05-02/TGEsgtDA
184;184;2016-05-03;TGEgasDA;62.96;40992.00;2016-05-03/TGEgasDA
185;185;2016-05-03;TGEsgtDA;-;-;2016-05-03/TGEsgtDA
186;186;2016-05-04;TGEgasDA;61.22;47376.00;2016-05-04/TGEgasDA
187;187;2016-05-04;TGEsgtDA;-;-;2016-05-04/TGEsgtDA
188;188;2016-05-05;TGEgasDA;61.36;50232.00;2016-05-05/TGEgasDA
189;189;2016-05-05;TGEsgtDA;-;-;2016-05-05/TGEsgtDA
190;190;2016-05-06;TGEgasDA;63.00;40872.00;2016-05-06/TGEgasDA
191;191;2016-05-06;TGEsgtDA;-;-;2016-05-06/TGEsgtDA
192;192;2016-05-07;TGEgasDA;61.97;10200.00;2016-05-07/TGEgasDA
193;193;2016-05-07;TGEsgtDA;-;-;2016-05-07/TGEsgtDA
194;194;2016-05-08;TGEgasDA;59.95;9264.00;2016-05-08/TGEgasDA
195;195;2016-05-08;TGEsgtDA;-;-;2016-05-08/TGEsgtDA
196;196;2016-05-09;TGEgasDA;60.59;25224.00;2016-05-09/TGEgasDA
197;197;2016-05-09;TGEsgtDA;-;-;2016-05-09/TGEsgtDA
198;198;2016-05-10;TGEgasDA;63.72;23016.00;2016-05-10/TGEgasDA
199;199;2016-05-10;TGEsgtDA;-;-;2016-05-10/TGEsgtDA
200;200;2016-05-11;TGEgasDA;62.21;28680.00;2016-05-11/TGEgasDA
201;201;2016-05-11;TGEsgtDA;-;-;2016-05-11/TGEsgtDA
202;202;2016-05-12;TGEgasDA;62.23;24984.00;2016-05-12/TGEgasDA
203;203;2016-05-12;TGEsgtDA;-;-;2016-05-12/TGEsgtDA
204;204;2016-05-13;TGEgasDA;63.97;24288.00;2016-05-13/TGEgasDA
205;205;2016-05-13;TGEsgtDA;-;-;2016-05-13/TGEsgtDA
206;206;2016-05-14;TGEgasDA;62.42;11208.00;2016-05-14/TGEgasDA
207;207;2016-05-14;TGEsgtDA;-;-;2016-05-14/TGEsgtDA
208;208;2016-05-15;TGEgasDA;61.93;13632.00;2016-05-15/TGEgasDA
209;209;2016-05-15;TGEsgtDA;-;-;2016-05-15/TGEsgtDA
210;210;2016-05-16;TGEgasDA;62.87;35328.00;2016-05-16/TGEgasDA
211;211;2016-05-16;TGEsgtDA;-;-;2016-05-16/TGEsgtDA
212;212;2016-05-17;TGEgasDA;61.71;42864.00;2016-05-17/TGEgasDA
213;213;2016-05-17;TGEsgtDA;-;-;2016-05-17/TGEsgtDA
214;214;2016-05-18;TGEgasDA;62.21;50376.00;2016-05-18/TGEgasDA
215;215;2016-05-18;TGEsgtDA;-;-;2016-05-18/TGEsgtDA
216;216;2016-05-19;TGEgasDA;62.44;43824.00;2016-05-19/TGEgasDA
217;217;2016-05-19;TGEsgtDA;-;-;2016-05-19/TGEsgtDA
218;218;2016-05-20;TGEgasDA;62.10;22608.00;2016-05-20/TGEgasDA
219;219;2016-05-20;TGEsgtDA;-;-;2016-05-20/TGEsgtDA
220;220;2016-05-21;TGEgasDA;59.69;5400.00;2016-05-21/TGEgasDA
221;221;2016-05-21;TGEsgtDA;-;-;2016-05-21/TGEsgtDA
222;222;2016-05-22;TGEgasDA;55.42;8352.00;2016-05-22/TGEgasDA
223;223;2016-05-22;TGEsgtDA;-;-;2016-05-22/TGEsgtDA
224;224;2016-05-23;TGEgasDA;61.06;17952.00;2016-05-23/TGEgasDA
225;225;2016-05-23;TGEsgtDA;-;-;2016-05-23/TGEsgtDA
226;226;2016-05-24;TGEgasDA;62.11;17592.00;2016-05-24/TGEgasDA
227;227;2016-05-24;TGEsgtDA;-;-;2016-05-24/TGEsgtDA
228;228;2016-05-25;TGEgasDA;62.48;17880.00;2016-05-25/TGEgasDA
229;229;2016-05-25;TGEsgtDA;-;-;2016-05-25/TGEsgtDA
230;230;2016-05-26;TGEgasDA;56.94;21768.00;2016-05-26/TGEgasDA
231;231;2016-05-26;TGEsgtDA;-;-;2016-05-26/TGEsgtDA
232;232;2016-05-27;TGEgasDA;57.73;21192.00;2016-05-27/TGEgasDA
233;233;2016-05-27;TGEsgtDA;-;-;2016-05-27/TGEsgtDA
234;234;2016-05-28;TGEgasDA;60.13;8448.00;2016-05-28/TGEgasDA
235;235;2016-05-28;TGEsgtDA;-;-;2016-05-28/TGEsgtDA
236;236;2016-05-29;TGEgasDA;59.66;7992.00;2016-05-29/TGEgasDA
237;237;2016-05-29;TGEsgtDA;-;-;2016-05-29/TGEsgtDA
238;238;2016-05-30;TGEgasDA;62.67;20016.00;2016-05-30/TGEgasDA
239;239;2016-05-30;TGEsgtDA;-;-;2016-05-30/TGEsgtDA
240;240;2016-05-31;TGEgasDA;65.43;27648.00;2016-05-31/TGEgasDA
241;241;2016-05-31;TGEsgtDA;-;-;2016-05-31/TGEsgtDA
242;242;2016-06-01;TGEgasDA;65.65;25608.00;2016-06-01/TGEgasDA
243;243;2016-06-01;TGEsgtDA;-;-;2016-06-01/TGEsgtDA
244;244;2016-06-02;TGEgasDA;64.88;28440.00;2016-06-02/TGEgasDA
245;245;2016-06-02;TGEsgtDA;-;-;2016-06-02/TGEsgtDA
246;246;2016-06-03;TGEgasDA;66.91;20592.00;2016-06-03/TGEgasDA
247;247;2016-06-03;TGEsgtDA;-;-;2016-06-03/TGEsgtDA
248;248;2016-06-04;TGEgasDA;64.68;6312.00;2016-06-04/TGEgasDA
249;249;2016-06-04;TGEsgtDA;-;-;2016-06-04/TGEsgtDA
250;250;2016-06-05;TGEgasDA;62.27;3936.00;2016-06-05/TGEgasDA
251;251;2016-06-05;TGEsgtDA;-;-;2016-06-05/TGEsgtDA
252;252;2016-06-06;TGEgasDA;66.31;20688.00;2016-06-06/TGEgasDA
253;253;2016-06-06;TGEsgtDA;-;-;2016-06-06/TGEsgtDA
254;254;2016-06-07;TGEgasDA;65.64;24168.00;2016-06-07/TGEgasDA
255;255;2016-06-07;TGEsgtDA;-;-;2016-06-07/TGEsgtDA
256;256;2016-06-08;TGEgasDA;66.72;23472.00;2016-06-08/TGEgasDA
257;257;2016-06-08;TGEsgtDA;-;-;2016-06-08/TGEsgtDA
258;258;2016-06-09;TGEgasDA;66.79;28560.00;2016-06-09/TGEgasDA
259;259;2016-06-09;TGEsgtDA;-;-;2016-06-09/TGEsgtDA
260;260;2016-06-10;TGEgasDA;64.54;25992.00;2016-06-10/TGEgasDA
261;261;2016-06-10;TGEsgtDA;-;-;2016-06-10/TGEsgtDA
262;262;2016-06-11;TGEgasDA;63.25;9672.00;2016-06-11/TGEgasDA
263;263;2016-06-11;TGEsgtDA;-;-;2016-06-11/TGEsgtDA
264;264;2016-06-12;TGEgasDA;62.49;6528.00;2016-06-12/TGEgasDA
265;265;2016-06-12;TGEsgtDA;-;-;2016-06-12/TGEsgtDA
266;266;2016-06-13;TGEgasDA;63.10;25752.00;2016-06-13/TGEgasDA
267;267;2016-06-13;TGEsgtDA;-;-;2016-06-13/TGEsgtDA
268;268;2016-06-14;TGEgasDA;62.93;30984.00;2016-06-14/TGEgasDA
269;269;2016-06-14;TGEsgtDA;-;-;2016-06-14/TGEsgtDA
270;270;2016-06-15;TGEgasDA;63.38;25416.00;2016-06-15/TGEgasDA
271;271;2016-06-15;TGEsgtDA;-;-;2016-06-15/TGEsgtDA
272;272;2016-06-16;TGEgasDA;65.44;24600.00;2016-06-16/TGEgasDA
273;273;2016-06-16;TGEsgtDA;-;-;2016-06-16/TGEsgtDA
274;274;2016-06-17;TGEgasDA;64.64;21864.00;2016-06-17/TGEgasDA
275;275;2016-06-17;TGEsgtDA;-;-;2016-06-17/TGEsgtDA
276;276;2016-06-18;TGEgasDA;64.52;8592.00;2016-06-18/TGEgasDA
277;277;2016-06-18;TGEsgtDA;-;-;2016-06-18/TGEsgtDA
278;278;2016-06-19;TGEgasDA;59.14;7080.00;2016-06-19/TGEgasDA
279;279;2016-06-19;TGEsgtDA;-;-;2016-06-19/TGEsgtDA
280;280;2016-06-20;TGEgasDA;64.39;8088.00;2016-06-20/TGEgasDA
281;281;2016-06-20;TGEsgtDA;-;-;2016-06-20/TGEsgtDA
282;282;2016-06-21;TGEgasDA;67.57;15384.00;2016-06-21/TGEgasDA
283;283;2016-06-21;TGEsgtDA;-;-;2016-06-21/TGEsgtDA
284;284;2016-06-22;TGEgasDA;67.86;19944.00;2016-06-22/TGEgasDA
285;285;2016-06-22;TGEsgtDA;-;-;2016-06-22/TGEsgtDA
286;286;2016-06-23;TGEgasDA;69.32;15048.00;2016-06-23/TGEgasDA
287;287;2016-06-23;TGEsgtDA;-;-;2016-06-23/TGEsgtDA
288;288;2016-06-24;TGEgasDA;68.49;12912.00;2016-06-24/TGEgasDA
289;289;2016-06-24;TGEsgtDA;-;-;2016-06-24/TGEsgtDA
290;290;2016-06-25;TGEgasDA;66.42;9360.00;2016-06-25/TGEgasDA
291;291;2016-06-25;TGEsgtDA;-;-;2016-06-25/TGEsgtDA
292;292;2016-06-26;TGEgasDA;63.84;8424.00;2016-06-26/TGEgasDA
293;293;2016-06-26;TGEsgtDA;-;-;2016-06-26/TGEsgtDA
294;294;2016-06-27;TGEgasDA;68.40;17568.00;2016-06-27/TGEgasDA
295;295;2016-06-27;TGEsgtDA;-;-;2016-06-27/TGEsgtDA
296;296;2016-06-28;TGEgasDA;66.80;20640.00;2016-06-28/TGEgasDA
297;297;2016-06-28;TGEsgtDA;-;-;2016-06-28/TGEsgtDA
298;298;2016-06-29;TGEgasDA;66.27;18696.00;2016-06-29/TGEgasDA
299;299;2016-06-29;TGEsgtDA;-;-;2016-06-29/TGEsgtDA
300;300;2016-06-30;TGEgasDA;66.84;16992.00;2016-06-30/TGEgasDA
301;301;2016-06-30;TGEsgtDA;-;-;2016-06-30/TGEsgtDA
302;302;2016-07-01;TGEgasDA;66.66;18096.00;2016-07-01/TGEgasDA
303;303;2016-07-01;TGEsgtDA;-;-;2016-07-01/TGEsgtDA
304;304;2016-07-02;TGEgasDA;60.46;3120.00;2016-07-02/TGEgasDA
305;305;2016-07-02;TGEsgtDA;-;-;2016-07-02/TGEsgtDA
306;306;2016-07-03;TGEgasDA;61.99;3192.00;2016-07-03/TGEgasDA
307;307;2016-07-03;TGEsgtDA;-;-;2016-07-03/TGEsgtDA
308;308;2016-07-04;TGEgasDA;65.95;18288.00;2016-07-04/TGEgasDA
309;309;2016-07-04;TGEsgtDA;-;-;2016-07-04/TGEsgtDA
310;310;2016-07-05;TGEgasDA;68.03;19704.00;2016-07-05/TGEgasDA
311;311;2016-07-05;TGEsgtDA;-;-;2016-07-05/TGEsgtDA
312;312;2016-07-06;TGEgasDA;66.75;22944.00;2016-07-06/TGEgasDA
313;313;2016-07-06;TGEsgtDA;-;-;2016-07-06/TGEsgtDA
314;314;2016-07-07;TGEgasDA;65.55;20352.00;2016-07-07/TGEgasDA
315;315;2016-07-07;TGEsgtDA;-;-;2016-07-07/TGEsgtDA
316;316;2016-07-08;TGEgasDA;66.76;19728.00;2016-07-08/TGEgasDA
317;317;2016-07-08;TGEsgtDA;-;-;2016-07-08/TGEsgtDA
318;318;2016-07-09;TGEgasDA;64.11;5064.00;2016-07-09/TGEgasDA
319;319;2016-07-09;TGEsgtDA;-;-;2016-07-09/TGEsgtDA
320;320;2016-07-10;TGEgasDA;62.26;2688.00;2016-07-10/TGEgasDA
321;321;2016-07-10;TGEsgtDA;-;-;2016-07-10/TGEsgtDA
322;322;2016-07-11;TGEgasDA;66.42;18648.00;2016-07-11/TGEgasDA
323;323;2016-07-11;TGEsgtDA;-;-;2016-07-11/TGEsgtDA
324;324;2016-07-12;TGEgasDA;64.91;15888.00;2016-07-12/TGEgasDA
325;325;2016-07-12;TGEsgtDA;-;-;2016-07-12/TGEsgtDA
326;326;2016-07-13;TGEgasDA;65.65;18048.00;2016-07-13/TGEgasDA
327;327;2016-07-13;TGEsgtDA;-;-;2016-07-13/TGEsgtDA
328;328;2016-07-14;TGEgasDA;65.72;19440.00;2016-07-14/TGEgasDA
329;329;2016-07-14;TGEsgtDA;-;-;2016-07-14/TGEsgtDA
330;330;2016-07-15;TGEgasDA;66.02;19896.00;2016-07-15/TGEgasDA
